,track_name,weeks,max_rank,min_rank,avg_rank
What I Really Meant To Say,What I Really Meant To Say,20,98,26,55.8
Movin' Out,Movin' Out,14,100,17,42.0
More Than A Woman,More Than A Woman,45,99,25,51.266666666666666
My Love Goes On And On,My Love Goes On And On,11,99,76,86.0
Everything Falls Apart/Small Wonders,Everything Falls Apart/Small Wonders,0,,,
One More Chance/Stay With Me,One More Chance/Stay With Me,0,,,
Somebody Like You,Somebody Like You,39,100,23,55.23076923076923
Come Again,Come Again,10,91,50,65.7
Blowin' Me Up,Blowin' Me Up,17,94,35,63.411764705882355
Along Comes A Woman,Along Comes A Woman,16,97,14,40.5625
Almost Doesn t Count,Almost Doesn t Count,0,,,
Bouncin' Back,Bouncin' Back,20,96,37,62.3
Somewhere I Belong,Somewhere I Belong,20,84,32,51.45
Steppin' Stone,Steppin' Stone,9,120,20,47.22222222222222
The Night Is Still Young,The Night Is Still Young,27,100,31,57.333333333333336
We've Got Tonite,We've Got Tonite,17,96,13,41.35294117647059
Rock The Boat,Rock The Boat,43,93,1,29.697674418604652
Not Tonight,Not Tonight,21,48,6,24.523809523809526
All I Have To Give,All I Have To Give,21,57,5,19.476190476190474
Elevate My Mind,Elevate My Mind,13,94,39,58.84615384615385
Juicy,Juicy,20,63,27,44.45
Won t Talk About It,Won t Talk About It,0,,,
I Love You,I Love You,171,129,1,50.30409356725146
"Right Here, Right Now","Right Here, Right Now",0,,,
Real Real Real,Real Real Real,20,89,4,44.2
Only If...,Only If...,3,99,88,95.0
Here Comes The Night,Here Comes The Night,30,123,24,60.3
Me And Those Dreamin' Eyes Of Mine,Me And Those Dreamin' Eyes Of Mine,6,92,74,83.5
"Hot Pants - I'm Coming, Coming, I'm Coming","Hot Pants - I'm Coming, Coming, I'm Coming",0,,,
Animal,Animal,56,100,13,42.785714285714285
All Fired Up,All Fired Up,17,92,19,46.76470588235294
Knocked Out,Knocked Out,13,93,41,64.76923076923077
Kung Fu,Kung Fu,13,96,40,59.30769230769231
On The Wings Of Love,On The Wings Of Love,18,96,29,50.111111111111114
Trouble Man,Trouble Man,12,81,7,28.916666666666668
Like A Rock,Like A Rock,13,91,12,35.30769230769231
The Call,The Call,12,110,52,82.08333333333333
I'm Coming Out,I'm Coming Out,23,95,5,36.65217391304348
Sad Sweet Dreamer,Sad Sweet Dreamer,21,109,14,58.38095238095238
If Your Girl Only Knew,If Your Girl Only Knew,20,53,11,29.0
"Mary, Mary","Mary, Mary",0,,,
Can't Cry Anymore,Can't Cry Anymore,18,99,36,56.666666666666664
I Only Want To Be With You,I Only Want To Be With You,42,122,12,56.333333333333336
Hypnotize,Hypnotize,35,98,1,48.08571428571429
Until It's Time For You To Go,Until It's Time For You To Go,10,103,53,77.8
Chewy Chewy,Chewy Chewy,14,101,15,35.357142857142854
Can We Still Be Friends,Can We Still Be Friends,24,99,29,62.375
Because Of You,Because Of You,166,105,1,28.795180722891565
Hold Me Tight,Hold Me Tight,18,131,5,45.666666666666664
Separate Lives,Separate Lives,21,82,1,23.238095238095237
Money Don t Matter 2 Night,Money Don t Matter 2 Night,0,,,
Goodbye Is Forever,Goodbye Is Forever,10,94,33,53.0
Rock Me,Rock Me,30,104,10,62.766666666666666
Ease Back,Ease Back,7,113,61,80.28571428571429
Mr. Wendal,Mr. Wendal,24,53,6,21.291666666666668
Tragedy,Tragedy,81,117,1,48.629629629629626
Invisible,Invisible,53,100,21,64.11320754716981
Lonely Days,Lonely Days,14,81,3,23.5
You Win Again,You Win Again,19,95,22,63.36842105263158
It's Too Late,It's Too Late,25,123,23,69.32
Poetry Man,Poetry Man,18,95,5,37.888888888888886
Something's Always Wrong,Something's Always Wrong,20,82,41,57.85
Cruisin',Cruisin',43,94,4,47.23255813953488
Hold Me,Hold Me,115,134,4,62.81739130434783
Searchin' So Long,Searchin' So Long,0,,,
The Whistler,The Whistler,6,85,59,67.33333333333333
Nights On Broadway,Nights On Broadway,18,105,7,35.55555555555556
Feelin' Satisfied,Feelin' Satisfied,7,96,46,63.57142857142857
I'm A Believer,I'm A Believer,48,98,1,46.395833333333336
Blowin' In The Wind,Blowin' In The Wind,31,116,2,42.806451612903224
Homburg,Homburg,6,118,34,58.833333333333336
Black Suits Comin',Black Suits Comin',3,95,77,88.66666666666667
Diamonds And Rust,Diamonds And Rust,11,89,35,56.72727272727273
Dancing In The Street,Dancing In The Street,54,134,2,51.129629629629626
If You Really Love Me,If You Really Love Me,14,86,8,28.0
Gimme The Light,Gimme The Light,16,44,7,16.4375
You Got To Me,You Got To Me,0,,,
We Can Work It Out,We Can Work It Out,13,101,1,19.153846153846153
Bad Time,Bad Time,15,73,4,27.8
Closer To Free,Closer To Free,20,57,16,32.3
Top Of The World,Top Of The World,66,108,1,58.666666666666664
When It's Love,When It's Love,19,93,5,36.05263157894737
Stuck,Stuck,11,100,52,70.18181818181819
Rags To Riches,Rags To Riches,36,135,1,31.36111111111111
Rocket,Rocket,13,79,12,34.84615384615385
Where The Blacktop Ends,Where The Blacktop Ends,20,91,35,60.55
You're The One That I Want,You're The One That I Want,24,83,1,27.75
What Would Happen,What Would Happen,10,96,46,68.1
Lamplight,Lamplight,5,90,71,79.0
Laredo,Laredo,12,96,60,75.41666666666667
Hang On In There Baby,Hang On In There Baby,17,79,8,29.705882352941178
Deep Inside Of You,Deep Inside Of You,12,97,69,79.83333333333333
Gossip Folks,Gossip Folks,20,75,8,28.2
Desiree,Desiree,16,134,16,47.25
Needles And Pins,Needles And Pins,33,124,13,64.84848484848484
Call On Me,Call On Me,51,99,6,51.01960784313726
The Best Of Times,The Best Of Times,19,100,3,23.94736842105263
Rikki Don't Lose That Number,Rikki Don't Lose That Number,0,,,
Thuggish Ruggish Bone,Thuggish Ruggish Bone,20,73,22,37.55
Na Na Hey Hey Kiss Him Goodbye,Na Na Hey Hey Kiss Him Goodbye,22,118,1,42.59090909090909
How Can You Mend A Broken Heart,How Can You Mend A Broken Heart,15,73,1,14.466666666666667
If,If,72,131,1,34.18055555555556
Over My Head,Over My Head,62,100,8,37.75806451612903
Love Will Turn You Around,Love Will Turn You Around,17,100,13,39.8235294117647
Girl Talk,Girl Talk,14,96,28,62.0
Mainstreet,Mainstreet,10,100,24,52.2
Dressed For Success,Dressed For Success,18,99,14,49.05555555555556
All Along,All Along,28,98,68,80.10714285714286
Better Be Good To Me,Better Be Good To Me,21,97,5,36.38095238095238
Faint,Faint,20,81,48,62.25
Every Heartbeat,Every Heartbeat,19,96,2,27.263157894736842
Sexy MF,Sexy MF,4,97,66,78.75
Finish What Ya Started,Finish What Ya Started,20,99,13,43.5
The Way It Is,The Way It Is,34,98,1,46.029411764705884
Forever Your Girl,Forever Your Girl,22,83,1,31.727272727272727
Lying From You,Lying From You,0,,,
Southernplayalisticadillacmuzik,Southernplayalisticadillacmuzik,10,95,74,84.0
Arthur's Theme,Arthur's Theme,24,97,1,26.625
Can't Stop Lovin' You,Can't Stop Lovin' You,33,125,30,68.48484848484848
You Better Run,You Better Run,19,102,20,56.473684210526315
New York Mining Disaster 1941,New York Mining Disaster 1941,0,,,
Repetition,Repetition,6,94,76,84.0
I'm Gonna Be Alright,I'm Gonna Be Alright,23,69,10,22.869565217391305
Baby Won't You Let Me Rock 'N Roll You,Baby Won't You Let Me Rock 'N Roll You,0,,,
Wishing You Were Here,Wishing You Were Here,15,92,11,37.06666666666667
Diggin' On You,Diggin' On You,20,54,5,20.25
Sexy + 17,Sexy + 17,15,71,5,24.866666666666667
Have You Ever?,Have You Ever?,22,40,1,13.909090909090908
The Look Of Love,The Look Of Love,64,116,4,51.734375
Why Must We Wait Until Tonight,Why Must We Wait Until Tonight,2,100,97,98.5
Here Comes The Hammer,Here Comes The Hammer,14,99,54,73.92857142857143
Sex As A Weapon,Sex As A Weapon,13,77,28,45.38461538461539
That s Not Her Style,That s Not Her Style,0,,,
Kentucky Woman,Kentucky Woman,17,108,22,46.705882352941174
More Than That,More Than That,20,96,27,54.7
The Devil Made Me Do It,The Devil Made Me Do It,4,100,79,86.75
Chocolate Chip,Chocolate Chip,2,94,92,93.0
Stop This Game,Stop This Game,12,100,48,75.08333333333333
More Than Words Can Say,More Than Words Can Say,23,94,2,35.95652173913044
If This Is It,If This Is It,17,100,6,29.58823529411765
Radioactive,Radioactive,115,100,3,39.21739130434783
"Baby, Come Over","Baby, Come Over",0,,,
Stuck In A Moment You Can't Get Out Of,Stuck In A Moment You Can't Get Out Of,20,83,52,65.75
Love In The First Degree,Love In The First Degree,31,98,15,50.87096774193548
Will You Marry Me?,Will You Marry Me?,13,96,19,41.15384615384615
Lay Low,Lay Low,19,96,50,73.15789473684211
Drowning,Drowning,20,93,28,65.3
Solitary Man,Solitary Man,30,112,21,63.3
I ll Be Missing You,I ll Be Missing You,0,,,
Don't Say Goodbye,Don't Say Goodbye,16,98,41,68.125
Dum Dum,Dum Dum,12,69,4,19.833333333333332
Anytime You Need A Friend,Anytime You Need A Friend,21,52,12,23.80952380952381
I Started A Joke,I Started A Joke,12,103,6,30.333333333333332
Got Your Money,Got Your Money,20,85,33,53.65
9th Wonder,9th Wonder,7,100,80,87.14285714285714
Feels So Good,Feels So Good,82,100,4,49.951219512195124
Mother-In-Law,Mother-In-Law,14,55,1,15.714285714285714
Hot Girls In Love,Hot Girls In Love,16,66,11,31.5
Tall Cool One,Tall Cool One,43,115,25,58.906976744186046
Don't Forget About Me,Don't Forget About Me,13,119,64,90.76923076923077
I ll Never Break Your Heart,I ll Never Break Your Heart,0,,,
Between Me And You,Between Me And You,20,85,11,31.15
Thug Holiday,Thug Holiday,9,96,87,91.33333333333333
Empty Pages,Empty Pages,9,102,74,89.33333333333333
Should've Known Better,Should've Known Better,21,96,3,34.95238095238095
Be True To Yourself,Be True To Yourself,10,116,34,64.9
Tunnel Of Love,Tunnel Of Love,24,97,9,45.041666666666664
Why They Call It Falling,Why They Call It Falling,7,91,78,82.85714285714286
When We Was Fab,When We Was Fab,11,100,23,44.90909090909091
Feel Like Makin' Love,Feel Like Makin' Love,37,106,1,38.21621621621622
"Wonderful World, Beautiful People","Wonderful World, Beautiful People",0,,,
My Love Is For Real,My Love Is For Real,13,99,28,53.38461538461539
I've Told Every Little Star,I've Told Every Little Star,14,86,3,27.928571428571427
Modern Girl,Modern Girl,18,96,18,46.94444444444444
The Politics Of Dancing,The Politics Of Dancing,21,97,24,53.80952380952381
Sleeping With You,Sleeping With You,8,98,78,89.25
Angels Would Fall,Angels Would Fall,11,89,51,65.81818181818181
Dare You To Move,Dare You To Move,20,64,17,32.7
The Way,The Way,51,100,9,48.72549019607843
Goin  Crazy!,Goin  Crazy!,0,,,
Children Of The Night,Children Of The Night,15,87,13,36.06666666666667
Johnny B Goode,Johnny B Goode,0,,,
Time Machine,Time Machine,19,104,48,73.10526315789474
Everyone's Gone To The Moon,Everyone's Gone To The Moon,13,131,17,49.46153846153846
Stages,Stages,12,75,21,40.583333333333336
You Know My Steez,You Know My Steez,13,95,76,84.3076923076923
Future Shock,Future Shock,19,106,39,68.10526315789474
All Good?,All Good?,3,100,96,97.33333333333333
Revolution,Revolution,17,99,12,46.35294117647059
Don't Cry,Don't Cry,55,99,10,34.74545454545454
Ode To Billie Joe,Ode To Billie Joe,17,118,1,29.470588235294116
Do What You Gotta Do,Do What You Gotta Do,22,121,69,90.0
Family Man,Family Man,26,99,6,53.19230769230769
The Fez,The Fez,5,89,59,71.0
Gett Off,Gett Off,14,81,21,48.57142857142857
One Step Up,One Step Up,15,93,13,40.86666666666667
I Found Someone,I Found Someone,32,98,10,52.40625
Peacekeeper,Peacekeeper,11,98,80,87.36363636363636
Right Down The Line,Right Down The Line,15,100,12,37.333333333333336
Supersonic,Supersonic,22,94,30,58.59090909090909
Secret,Secret,43,100,3,46.2093023255814
The First Night,The First Night,23,35,1,8.0
So Anxious,So Anxious,20,92,16,38.4
Boy In The Box,Boy In The Box,12,85,26,45.916666666666664
Everything In My Heart,Everything In My Heart,15,99,30,50.266666666666666
Lies,Lies,76,99,18,52.9078947368421
It's Gonna Be Me,It's Gonna Be Me,25,82,1,21.68
None Of Your Business,None Of Your Business,22,73,32,51.27272727272727
Show Biz Kids,Show Biz Kids,8,95,61,76.25
I Can t Make You Love Me,I Can t Make You Love Me,0,,,
No Time,No Time,35,130,5,34.08571428571429
Music,Music,67,130,1,43.0
All Your Goodies Are Gone,All Your Goodies Are Gone,7,97,80,88.14285714285714
Little Man,Little Man,24,94,21,53.666666666666664
,,76,124,7,62.5
I.G.Y.,I.G.Y.,14,96,26,49.42857142857143
Taste Of Honey,Taste Of Honey,18,122,7,36.77777777777778
New Frontier,New Frontier,6,94,70,81.0
Pretzel Logic,Pretzel Logic,5,89,57,69.8
Give Me All Your Love,Give Me All Your Love,11,89,48,63.0
Burnin' Up,Burnin' Up,37,99,5,60.486486486486484
What Am I Gonna Do With You,What Am I Gonna Do With You,12,123,8,40.583333333333336
Tears Run Rings,Tears Run Rings,8,97,67,80.125
Drive,Drive,94,95,3,38.5
Not A Day Goes By,Not A Day Goes By,17,99,36,57.529411764705884
Ride Away,Ride Away,10,98,25,48.2
I Hate Myself For Loving You,I Hate Myself For Loving You,26,91,8,48.11538461538461
Will The Wolf Survive,Will The Wolf Survive,5,94,78,84.4
Nobody's Fool,Nobody's Fool,24,95,13,48.625
I Care 4 U,I Care 4 U,20,67,16,34.05
Ain't It Funny,Ain't It Funny,27,74,1,17.74074074074074
Rockin' Around The Christmas Tree,Rockin' Around The Christmas Tree,19,117,14,52.73684210526316
Take Me Home,Take Me Home,64,100,7,53.71875
I Wanna Be Down,I Wanna Be Down,28,61,6,20.464285714285715
Gonna Catch You,Gonna Catch You,6,100,79,87.5
"""The Dark At The Top Of The Stairs""","""The Dark At The Top Of The Stairs""",0,,,
So Wrong,So Wrong,18,115,30,67.77777777777777
Travelin' Prayer,Travelin' Prayer,0,,,
Right On The Money,Right On The Money,12,99,43,58.166666666666664
Lovin  Every Minute Of It,Lovin  Every Minute Of It,0,,,
Dear God,Dear God,5,99,95,96.2
Woman In Love,Woman In Love,24,93,1,22.583333333333332
Steal Away,Steal Away,46,122,6,42.91304347826087
Life Ain t Easy,Life Ain t Easy,0,,,
I Predict,I Predict,8,108,60,80.875
Funky Worm,Funky Worm,0,,,
Worse Comes To Worst,Worse Comes To Worst,4,95,80,88.5
Price To Play,Price To Play,10,100,66,76.1
Little Liar,Little Liar,20,98,19,45.85
Watch Out For Lucy,Watch Out For Lucy,6,107,40,63.833333333333336
Fooled Around And Fell In Love,Fooled Around And Fell In Love,17,88,3,27.647058823529413
The Greatest Romance Ever Sold,The Greatest Romance Ever Sold,2,96,95,95.5
Pictures Of Matchstick Men,Pictures Of Matchstick Men,19,131,12,52.78947368421053
Prisoner Of Love,Prisoner Of Love,31,133,1,21.419354838709676
Picture,Picture,34,91,4,23.176470588235293
Crazy Cool,Crazy Cool,9,98,58,71.66666666666667
You Want This,You Want This,0,,,
Fade Away,Fade Away,19,110,20,62.68421052631579
A Girl In Trouble,A Girl In Trouble,13,92,35,57.23076923076923
You Walked In,You Walked In,4,96,93,94.25
Shut Up And Kiss Me,Shut Up And Kiss Me,6,96,90,92.83333333333333
57 Channels,57 Channels,6,94,68,76.16666666666667
Lipstick Traces,Lipstick Traces,21,128,48,89.04761904761905
Make It Happen,Make It Happen,20,74,5,24.5
Check It Out,Check It Out,45,99,14,51.28888888888889
More Love,More Love,30,85,10,32.93333333333333
New Jack Hustler,New Jack Hustler,8,99,67,78.125
Faded Love,Faded Love,11,130,96,105.18181818181819
Liquid Swords,Liquid Swords,7,96,48,70.85714285714286
Steamy Windows,Steamy Windows,11,97,39,60.81818181818182
Rock You Baby,Rock You Baby,5,98,66,77.8
Caribbean Blue,Caribbean Blue,8,87,79,81.875
Hey Lover,Hey Lover,29,130,3,36.758620689655174
Victim Of Love,Victim Of Love,22,95,31,53.04545454545455
Every Day Of The Week,Every Day Of The Week,22,53,20,30.863636363636363
The End Of The World,The End Of The World,23,115,2,46.65217391304348
Am I Black Enough For You,Am I Black Enough For You,5,97,79,88.0
Love Is A Killer,Love Is A Killer,6,100,71,83.0
Chasin  The Wind,Chasin  The Wind,0,,,
We Can Last Forever,We Can Last Forever,12,87,55,67.41666666666667
You'll Accomp'ny Me,You'll Accomp'ny Me,0,,,
The Wild Life,The Wild Life,8,94,70,82.125
I Will Remember You,I Will Remember You,40,87,14,36.6
Close To You,Close To You,75,99,1,44.54666666666667
I Heard A Rumour,I Heard A Rumour,19,88,4,32.94736842105263
I Can t Wait,I Can t Wait,0,,,
Come Over,Come Over,40,75,23,44.125
"Come On, Let's Go","Come On, Let's Go",0,,,
I'll Take Good Care Of You,I'll Take Good Care Of You,9,94,30,57.44444444444444
Anything Can Happen,Anything Can Happen,6,89,75,79.33333333333333
The Arms Of Orion,The Arms Of Orion,14,92,36,58.214285714285715
Streiht Up Menace,Streiht Up Menace,8,92,72,80.0
Take It To Da House,Take It To Da House,20,99,50,69.75
Love Comes Quickly,Love Comes Quickly,8,92,62,74.125
Your Move,Your Move,14,99,40,63.0
B-Please,B-Please,9,97,77,84.77777777777777
Pretty Woman,Pretty Woman,16,97,12,41.25
Valotte,Valotte,19,100,9,37.10526315789474
Right Thurr,Right Thurr,33,97,2,21.545454545454547
Gudbuy T' Jane,Gudbuy T' Jane,0,,,
She's A Rainbow,She's A Rainbow,7,77,25,45.285714285714285
Don't Let It Go To Your Head,Don't Let It Go To Your Head,6,68,54,61.333333333333336
One Minute Man,One Minute Man,21,75,15,31.047619047619047
No One In The World,No One In The World,17,99,44,68.47058823529412
Magic Stick,Magic Stick,24,75,2,18.333333333333332
Pillow Talk,Pillow Talk,21,98,3,34.23809523809524
Little Suzi,Little Suzi,3,96,91,94.0
Baby What A Big Surprise,Baby What A Big Surprise,0,,,
The One I Gave My Heart To,The One I Gave My Heart To,20,58,9,21.55
Send Me An Angel  89,Send Me An Angel  89,0,,,
Stone Cold,Stone Cold,12,92,40,62.5
It's Good News Week,It's Good News Week,11,132,48,71.0909090909091
Rock Me On The Water,Rock Me On The Water,12,90,48,66.66666666666667
I Can't Help It,I Can't Help It,69,134,12,73.4927536231884
Shy Boy,Shy Boy,9,128,83,103.55555555555556
Mountains,Mountains,22,99,23,65.0909090909091
Couldn't I Just Tell You,Couldn't I Just Tell You,2,96,93,94.5
Raining On Sunday,Raining On Sunday,19,97,38,61.68421052631579
Groovy Kind Of Love,Groovy Kind Of Love,25,98,1,39.36
Shakin',Shakin',9,98,63,77.33333333333333
Are You Happy Now?,Are You Happy Now?,21,95,16,35.76190476190476
Good Morning Starshine,Good Morning Starshine,14,87,3,25.714285714285715
"The ""In"" Crowd","The ""In"" Crowd",13,135,13,59.53846153846154
Brooklyn Zoo,Brooklyn Zoo,16,97,54,70.3125
No 9 Dream,No 9 Dream,0,,,
Mr. Limousine Driver,Mr. Limousine Driver,3,124,97,106.33333333333333
You Gets No Love,You Gets No Love,20,100,38,59.7
I'm A Thug,I'm A Thug,20,99,17,48.5
Real People,Real People,0,,,
Wild Women Do,Wild Women Do,10,84,34,57.4
"The Earth, The Sun, The Rain","The Earth, The Sun, The Rain",0,,,
Walking In Memphis,Walking In Memphis,34,100,13,57.05882352941177
"Me, Myself And I","Me, Myself And I",0,,,
Dangerously In Love,Dangerously In Love,20,100,57,77.65
Just Because,Just Because,51,119,14,57.705882352941174
Before You Walk Out Of My Life/Like This And Like That,Before You Walk Out Of My Life/Like This And Like That,0,,,
It Ain t Enough,It Ain t Enough,0,,,
What Was I Thinkin',What Was I Thinkin',20,90,22,45.65
Never Scared,Never Scared,20,99,26,58.5
Apartment 21,Apartment 21,6,85,81,82.66666666666667
Black And Blue,Black And Blue,10,98,34,58.1
You Better Come Home,You Better Come Home,0,,,
Practice What You Preach,Practice What You Preach,21,85,18,34.0
We Thuggin',We Thuggin',20,82,15,35.8
Poor Georgie,Poor Georgie,5,93,83,86.4
Reach For The Sky,Reach For The Sky,5,95,83,87.8
If Anyone Falls,If Anyone Falls,14,100,14,38.142857142857146
Before The Next Teardrop Falls,Before The Next Teardrop Falls,21,97,1,29.857142857142858
The Boys Of Summer,The Boys Of Summer,40,94,5,41.175
We Will Become Silhouettes,We Will Become Silhouettes,1,82,82,82.0
Hippy Hippy Shake,Hippy Hippy Shake,23,132,24,59.391304347826086
Weak And Powerless,Weak And Powerless,18,96,61,75.83333333333333
Dandelion,Dandelion,8,75,14,32.375
Ohio,Ohio,9,58,14,28.555555555555557
When You re Gone/Free To Decide,When You re Gone/Free To Decide,0,,,
Tell All The People,Tell All The People,9,100,57,67.22222222222223
A Well Respected Man,A Well Respected Man,15,109,13,43.733333333333334
